ID,Idea,Platform,Source,Category,CB Excitement (1-10),Motivation / Why It Matters to CB,Untapped Market (1-10),Repeatable & Scalable (1-10),Moated (1-10),Risk (1-10 = highest),Effort (1-10 = most),Autonomy (1-10 = fully autonomous),Cost to Launch (Est.),Time to First Dollar (Est.),Autonomous Filter,Builder Filter,Stage,Notes / Next Action
1,Paid Newsletter (Beehiiv),AI Digital Products,AI Suggested,Information Product,,,AI + finance knowledge nobody in CB network has. Monetizes curation CB already does for free.,9,6,3,4,9,$0 - $20/month Beehiiv,Days,PASS,PASS,ACTIVE — Launch this week,"Write Issue #1. Send to full network. Free tier + $12-15/month paid. Front door for all other platforms."
2,AI Prompt Packs (Gumroad),AI Digital Products,AI Suggested,Digital Product,,,CB's 14 certifications become a sellable product. Create once sell forever.,8,7,4,2,9,$0,Days,PASS,PASS,ACTIVE — Launch this week,"Build Small Business Starter Pack first (20 tested prompts). $29-$97/pack."
3,MyNewsHub Founding Member Presell,MyNewsHub,CB Original,SaaS / Platform,,,Product already being built. Sell access now before launch.,9,8,5,2,9,$0,Days,PASS,PASS,ACTIVE — Define offer,"Set price ($79/year founding rate). Create Stripe link. Post to network."
4,Affiliate Partnerships,AI Digital Products + MyNewsHub,AI Suggested,Passive Commission,,,CB already recommends these tools. Formalize = automatic commission.,7,9,2,1,9,$0,2-4 weeks,PASS,PASS,ACTIVE — Set up accounts,"Sign up: Anthropic/Claude Pro / Notion / Beehiiv / Perplexity / Zapier. Add links to newsletter + hub."
5,Notion / AI Workflow Templates,AI Digital Products,AI Suggested,Digital Product,,,CB built these systems for personal use. Package and sell them.,7,8,4,2,9,$0,1 week,PASS,PASS,PIPELINE,"Export passive income tracker + CB financial framework as Notion templates. $15-$49/pack."
6,How to Use AI (Individuals & Small Biz),AI Digital Products,CB Original,Digital Product / Course,,,Massive education gap in CB's full network. Restructured as async course — not workshops.,8,7,5,3,9,$0 - $50 (recording),3-4 weeks,PASS,PASS,PIPELINE,"Record 6-8 module async course on Teachable or Gumroad. $197-$297 one-time. NOT a workshop."
7,Agent / Task Management Platform,AI Digital Products,CB Original,SaaS,,,Small businesses need task automation. CB's AI mastery = credible builder.,7,7,4,4,8,$100-$500 (API costs),60-90 days,PASS,PASS,PIPELINE,"Define MVP scope. Consider Claude API + simple UI. Subscription model."
8,Document Review + AI Summary (Self-Serve),AI Digital Products,CB Original,SaaS,,,Universal pain point. Small businesses pay professionals $300/hr for what AI does in seconds.,8,8,5,3,8,$200-$500,60 days,PASS,PASS,PIPELINE,"Self-serve portal — customer uploads doc / AI summarizes / CB not in loop. Per-doc or subscription."
9,CB Framework Licensing,AI Digital Products,AI Suggested,Licensing / IP,,,CB built a unique analytical system. Other advisors want to use it.,6,9,8,2,8,$0,4-8 weeks,PASS,PASS,PIPELINE,"Document CB framework as standalone licensable product. Target 3 advisors in consulting network. $200-500/month per license."
10,Async Digital Course (AI for Wealth Builders),AI Digital Products,AI Suggested,Digital Product,,,CB's financial + AI combination is a rare intersection. Record once sell forever.,8,8,5,3,8,$50-$200 (recording),3-4 weeks,PASS,PASS,PIPELINE,"6-8 modules. $197-$297. Early-bird $97 pre-sale to validate demand. Gumroad or Teachable."
